49;12;20;0;27
35;7;0;0;14
75;107;1;0;10
103;628;4;28;494
129;202;7;2;20
83;0;2;4;118
73;32;3;0;30
98;203;2;67;47
28;682;0;0;44
88;346;1;191;123
76;339;0;0;28
108;215;16;911;316
135;114;5;0;107
369;124;0;21;59
199;285;111;2;67
131;210;59;8;28
86;41;12;5;15
250;256;1;7;78
270;230;4;115;102
66;76;2;0;105
67;21;4;96;114
580;84;18;28;37
165;23;54;162;90
196;215;47;636;223
153;240;82;8;89
55;243;155;18;93
107;219;40;6;81
161;259;5;11;130
176;578;13;627;34
145;397;1;107;121
163;146;11;9;10
89;77;5;0;61
59;4;2;0;7
150;87;0;139;119
78;2;3;0;15
241;114;9;1;40
30;20;1;0;1
303;443;116;609;763
206;2109;7;1224;101
96;65;1;3;90
168;144;2;15;79
176;126;7;264;218
179;124;30;626;85
98;51;106;69;155
199;249;45;47;303
120;322;1;207;93
288;22;30;4;36
150;283;2;86;48
327;19;24;87;215
69;262;84;13;17
94;51;1;0;16
260;24;5;743;80
130;171;2;0;60
92;142;16;41;98
146;77;15;3;40
49;14;1;0;36
87;208;266;550;139
82;100;15;155;32
204;147;3;6;112
117;87;9;5;22
54;53;5;2;17
213;266;4;9;75
107;105;14;13;112
97;291;6;8;56
143;201;1;0;32
207;300;12;323;200
141;114;1;118;75
585;165;2;257;26
70;0;1;0;16
74;52;0;6;69
59;117;7;81;59
183;381;24;166;277
44;120;3;37;193
142;148;1;3;86
186;93;0;21;55
88;292;83;75;155
215;270;2;2245;252
138;110;5;144;73
