74;45;4;0;4
52;168;3;0;64
81;43;4;7;62
5;0;0;0;0
52;113;0;2;23
39;75;19;0;481
63;514;11;148;101
257;380;38;490;55
96;155;3;17;71
224;258;59;65;95
169;242;2;2;19
136;74;5;0;60
70;30;1;0;55
540;286;21;0;66
201;214;17;33;151
161;91;22;6;16
44;77;12;0;48
58;93;29;76;105
85;18;1;2;5
94;108;3;93;68
182;164;139;162;39
223;103;20;68;327
234;181;77;2;74
74;16;1;8;52
159;77;18;1;10
67;123;1;0;17
74;76;0;0;78
37;162;1;0;32
64;236;1;22;248
148;69;4;63;8
102;128;2;10;150
167;81;2;0;0
229;310;4;21;83
134;166;12;26;132
36;3;1;2;12
58;125;18;0;160
14;36;6;0;1
203;88;2;0;27
181;292;16;409;138
69;110;14;234;19
312;170;57;106;153
483;736;39;52;113
169;228;4;51;31
111;128;221;478;38
80;323;7;0;12
110;162;0;0;5
244;223;25;1;169
80;114;5;65;30
125;209;59;17;4
130;240;5;46;10
132;125;60;176;115
149;514;13;61;99
69;0;1;1116;9
329;259;6;164;39
139;216;4;0;69
68;58;2;2;183
127;358;4;9;41
61;67;14;0;67
43;126;6;0;96
70;52;3;27;13
162;0;2;0;26
148;157;20;1;36
119;229;7;683;57
99;110;0;0;5
191;321;1;24;246
184;949;20;464;34
69;79;2;2;9
130;198;4;0;67
109;104;3;0;8
18;0;0;3;12
113;366;3;0;22
200;259;4;845;17
188;193;1;37;72
250;250;24;6;29
90;143;0;0;9
83;159;159;191;129
78;98;4;1;51
104;297;6;198;108
244;301;85;179;69
247;420;56;55;34
122;0;8;12;41
120;139;5;0;20
84;59;0;0;9
140;151;27;10;41
135;98;15;13;38
130;703;30;73;84
96;182;23;32;60
91;82;0;0;7
