407;513;17;16;175
232;358;18;13;75
310;5;47;269;66
62;183;34;2444;58
34;77;2;0;82
198;125;36;369;168
241;410;13;429;210
259;217;31;160;159
249;120;4;0;87
207;42;275;52;62
448;259;82;755;329
453;118;2784;37;81
382;617;19;83;434
88;84;20;50;20
68;2;5;0;4
188;30;6;1;68
564;97;2;885;103
0;0;1;0;3
203;30;5;2;152
167;243;3;730;57
164;28;46;5;166
984;338;4;21;1512
80;157;1;0;39
169;339;3;2;73
129;4;120;8;33
270;160;1;0;75
1104;371;32;1219;265
365;984;11;1394;838
485;621;129;914;330
484;1904;2;1774;189
200;1399;4;1010;1365
7434;5185;3;2451;435
114;335;108;117;62
91;347;29;146;99
221;39;25;0;13
54;105;8;207;16
148;136;20;374;105
241;438;35;53;157
89;133;26;1;30
65;50;2;0;55
113;132;1;0;117
124;157;2;21;63
114;272;128;103;140
114;272;128;103;139
84;80;14;0;95
694;466;22;285;278
67;108;6;0;27
153;173;5;38;69
159;173;39;70;181
191;160;9;3;68
111;167;8;143;48
162;474;19;253;102
169;14;0;0;84
215;117;22;146;227
256;446;53;179;790
448;150;5;0;100
163;126;1;0;22
144;294;31;573;296
246;192;0;0;213
154;57;11;72;104
180;116;131;24;96
152;35;1;0;22
355;149;13;903;2546
74;106;46;15;126
108;676;32;42;38
154;61;4;1;59
87;134;5;61;28
418;425;1337;56;20
153;145;98;3;285
186;266;12;203;169
266;300;30;130;182
296;453;221;986;368
136;616;358;12;33
216;72;25;6;22
517;295;5;0;202
121;162;1;0;9
155;690;4;24;71
83;117;1;1;47
346;341;208;257;138
216;448;15;198;71
191;179;25;33;15
242;121;4;10;100
123;343;8;1335;191
152;202;1;0;38
138;416;4;1842;187
127;211;17;1;57
666;320;80;816;202
105;85;2;118;34
104;302;153;628;58
121;290;113;2502;74
325;345;4;129;259
875;103;8;175;53
799;1264;95;214;67
115;84;1;0;35
155;199;4;68;107
599;791;10;12;138
